datetime,portfolio_value,cash,positions,return
2022-12-15 09:30:00-05:00,100000.0,100000.0,"[{'asset': USD, 'quantity': 100000.0}]",
2022-12-16 09:30:00-05:00,99955.80001831055,98588.89999389648,"[{'asset': USD, 'quantity': 98588.89999389648}, {'asset': AAPL, 'quantity': 10.0}]",-0.0004419998168945227
2022-12-17 09:30:00-05:00,99955.80001831055,97221.99996948242,"[{'asset': USD, 'quantity': 97221.99996948242}, {'asset': AAPL, 'quantity': 20.0}]",0.0
2022-12-19 09:30:00-05:00,99924.19998168945,97221.99996948242,"[{'asset': USD, 'quantity': 97221.99996948242}, {'asset': AAPL, 'quantity': 20.0}]",-0.0003161401000773001
2022-12-20 09:30:00-05:00,99812.59994506836,95870.8999633789,"[{'asset': USD, 'quantity': 95870.8999633789}, {'asset': AAPL, 'quantity': 30.0}]",-0.0011168469363932454
2022-12-21 09:30:00-05:00,99876.19979858398,94556.99996948242,"[{'asset': USD, 'quantity': 94556.99996948242}, {'asset': AAPL, 'quantity': 40.0}]",0.0006371926345032364
2022-12-22 09:30:00-05:00,99944.70031738281,93227.20001220703,"[{'asset': USD, 'quantity': 93227.20001220703}, {'asset': AAPL, 'quantity': 50.0}]",0.0006858542769645481
2022-12-23 09:30:00-05:00,99738.8998413086,91883.69995117188,"[{'asset': USD, 'quantity': 91883.69995117188}, {'asset': AAPL, 'quantity': 60.0}]",-0.00205914346054048
2022-12-24 09:30:00-05:00,99738.8998413086,90574.49996948242,"[{'asset': USD, 'quantity': 90574.49996948242}, {'asset': AAPL, 'quantity': 70.0}]",0.0
2022-12-27 09:30:00-05:00,99771.1003112793,90574.49996948242,"[{'asset': USD, 'quantity': 90574.49996948242}, {'asset': AAPL, 'quantity': 70.0}]",0.0003228476554477666
2022-12-28 09:30:00-05:00,99634.29977416992,89260.6999206543,"[{'asset': USD, 'quantity': 89260.6999206543}, {'asset': AAPL, 'quantity': 80.0}]",-0.001371143915247619
2022-12-29 09:30:00-05:00,99483.0997467041,87963.99993896484,"[{'asset': USD, 'quantity': 87963.99993896484}, {'asset': AAPL, 'quantity': 90.0}]",-0.0015175499582826824
2022-12-30 09:30:00-05:00,99525.10032653809,86684.09996032715,"[{'asset': USD, 'quantity': 86684.09996032715}, {'asset': AAPL, 'quantity': 100.0}]",0.0004221880896446706
2022-12-31 09:30:00-05:00,99525.10032653809,85399.99992370605,"[{'asset': USD, 'quantity': 85399.99992370605}, {'asset': AAPL, 'quantity': 110.0}]",0.0
2023-01-03 09:30:00-05:00,99730.79978942871,85399.99992370605,"[{'asset': USD, 'quantity': 85399.99992370605}, {'asset': AAPL, 'quantity': 110.0}]",0.002066809902383726
2023-01-04 09:30:00-05:00,99323.9998626709,84097.19993591309,"[{'asset': USD, 'quantity': 84097.19993591309}, {'asset': AAPL, 'quantity': 120.0}]",-0.0040789798900312535
2023-01-05 09:30:00-05:00,99355.19958496094,82828.2999420166,"[{'asset': USD, 'quantity': 82828.2999420166}, {'asset': AAPL, 'quantity': 130.0}]",0.0003141206791226203
2023-01-06 09:30:00-05:00,99198.40026855469,81556.99996948242,"[{'asset': USD, 'quantity': 81556.99996948242}, {'asset': AAPL, 'quantity': 140.0}]",-0.0015781692056505703
2023-01-07 09:30:00-05:00,99198.40026855469,80296.89994812012,"[{'asset': USD, 'quantity': 80296.89994812012}, {'asset': AAPL, 'quantity': 150.0}]",0.0
2023-01-09 09:30:00-05:00,99867.40013122559,80296.89994812012,"[{'asset': USD, 'quantity': 80296.89994812012}, {'asset': AAPL, 'quantity': 150.0}]",0.006744058985424628
2023-01-10 09:30:00-05:00,99833.79905700684,78992.19993591309,"[{'asset': USD, 'quantity': 78992.19993591309}, {'asset': AAPL, 'quantity': 160.0}]",-0.00033645688357364367
2023-01-11 09:30:00-05:00,100002.09999084473,77689.59999084473,"[{'asset': USD, 'quantity': 77689.59999084473}, {'asset': AAPL, 'quantity': 170.0}]",0.0016858111724444846
2023-01-12 09:30:00-05:00,100475.50086975098,76377.09999084473,"[{'asset': USD, 'quantity': 76377.09999084473}, {'asset': AAPL, 'quantity': 180.0}]",0.004733909377399037
2023-01-13 09:30:00-05:00,100123.99971008301,75038.2999420166,"[{'asset': USD, 'quantity': 75038.2999420166}, {'asset': AAPL, 'quantity': 190.0}]",-0.003498376784641599
2023-01-14 09:30:00-05:00,100123.99971008301,73717.99995422363,"[{'asset': USD, 'quantity': 73717.99995422363}, {'asset': AAPL, 'quantity': 200.0}]",0.0
2023-01-17 09:30:00-05:00,100684.00032043457,73717.99995422363,"[{'asset': USD, 'quantity': 73717.99995422363}, {'asset': AAPL, 'quantity': 200.0}]",0.005593070712047954
2023-01-18 09:30:00-05:00,101101.90147399902,72369.69993591309,"[{'asset': USD, 'quantity': 72369.69993591309}, {'asset': AAPL, 'quantity': 210.0}]",0.004150621272838384
2023-01-19 09:30:00-05:00,100499.10026550293,71001.4998626709,"[{'asset': USD, 'quantity': 71001.4998626709}, {'asset': AAPL, 'quantity': 220.0}]",-0.005962313267185437
2023-01-20 09:30:00-05:00,100775.09956359863,69660.69984436035,"[{'asset': USD, 'quantity': 69660.69984436035}, {'asset': AAPL, 'quantity': 230.0}]",0.002746286258947128
2023-01-21 09:30:00-05:00,100775.09956359863,68307.89985656738,"[{'asset': USD, 'quantity': 68307.89985656738}, {'asset': AAPL, 'quantity': 240.0}]",0.0
2023-01-23 09:30:00-05:00,101456.69868469238,68307.89985656738,"[{'asset': USD, 'quantity': 68307.89985656738}, {'asset': AAPL, 'quantity': 240.0}]",0.006763566833924095
